iter	Passed	Remaining
843	2050	379
844	2053	376
845	2056	374
846	2061	372
847	2065	370
848	2067	367
849	2069	365
850	2071	362
851	2073	360
852	2075	357
853	2076	355
854	2079	352
855	2081	350
856	2083	347
857	2086	345
858	2088	342
859	2090	340
860	2093	337
861	2100	336
862	2106	334
863	2109	331
864	2110	329
865	2112	326
866	2114	324
867	2117	321
868	2120	319
869	2124	317
870	2126	314
871	2127	312
872	2129	309
873	2131	307
874	2133	304
875	2135	302
876	2137	299
877	2138	297
878	2140	294
879	2142	292
880	2144	289
881	2146	287
882	2148	284
883	2149	282
884	2151	279
885	2153	277
886	2155	274
887	2157	272
888	2159	269
889	2160	267
890	2163	264
891	2165	262
892	2167	259
893	2169	257
894	2171	254
895	2173	252
896	2178	250
897	2182	247
898	2186	245
899	2188	243
900	2190	240
901	2191	238
902	2194	235
903	2197	233
904	2201	231
905	2204	228
906	2206	226
907	2208	223
908	2210	221
909	2212	218
910	2214	216
911	2216	213
912	2218	211
913	2219	208
914	2221	206
915	2223	203
916	2225	201
917	2227	198
918	2229	196
919	2231	194
920	2233	191
921	2240	189
922	2246	187
923	2251	185
924	2253	182
925	2255	180
926	2258	177
927	2264	175
928	2268	173
929	2269	170
930	2271	168
931	2274	165
932	2276	163
933	2277	160
934	2280	158
935	2282	156
936	2284	153
937	2285	151
938	2287	148
939	2289	146
940	2291	143
941	2293	141
942	2295	138
943	2297	136
944	2299	133
945	2301	131
946	2303	128
947	2305	126
948	2307	124
949	2310	121
950	2311	119
951	2313	116
952	2317	114
953	2332	112
954	2342	110
955	2350	108
956	2354	105
957	2358	103
958	2365	101
959	2369	98
960	2374	96
961	2384	94
962	2388	91
963	2391	89
964	2403	87
965	2410	84
966	2414	82
967	2425	80
968	2434	77
969	2439	75
970	2444	72
971	2447	70
972	2450	67
973	2453	65
974	2456	62
975	2459	60
976	2465	58
977	2469	55
978	2473	53
979	2482	50
980	2492	48
981	2494	45
982	2497	43
983	2501	40
984	2504	38
985	2506	35
986	2507	33
987	2509	30
988	2511	27
989	2513	25
990	2514	22
991	2516	20
992	2518	17
993	2520	15
994	2522	12
995	2523	10
996	2526	7
997	2527	5
998	2529	2
999	2532	0
